Task_3.py :-

$jupyter nbconvert --to script Task_3.ipynb
$python -m cProfile Task_3.py
         2986275 function calls (2952765 primitive calls) in 48.169 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 __init__.py:1600(getEffectiveLevel)
      480    0.000    0.000    0.000    0.000 __init__.py:1610(<lambda>)
    18186    0.003    0.000    0.003    0.000 __init__.py:1614(isEnabledFor)
       22    0.000    0.000    0.000    0.000 __init__.py:1624(_arith_method_SPARSE_SERIES)
        1    0.000    0.000    0.016    0.016 __init__.py:164(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
       65    0.000    0.000    0.000    0.000 __init__.py:1652(safe_first_element)
        1    0.000    0.000    0.000    0.000 __init__.py:1665(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1671(__init__)
       16    0.000    0.000    0.000    0.000 __init__.py:1674(sanitize_sequence)
        1    0.000    0.000    0.000    0.000 __init__.py:168(AccessorRegistrationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
       71    0.000    0.000    0.001    0.000 __init__.py:168(connect)
        1    0.000    0.000    0.000    0.000 __init__.py:1682(LoggerAdapter)
      802    0.004    0.000    0.008    0.000 __init__.py:1682(normalize_kwargs)
        1    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:172(AbstractMethodError)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
      802    0.002    0.000    0.002    0.000 __init__.py:1742(<dictcomp>)
      802    0.000    0.000    0.000    0.000 __init__.py:1756(<listcomp>)
      802    0.000    0.000    0.000    0.000 __init__.py:1761(<listcomp>)
        1    0.000    0.000    0.009    0.009 __init__.py:18(<module>)
       96    0.000    0.000    0.000    0.000 __init__.py:180(make_invalid_op)
      149    0.001    0.000    0.001    0.000 __init__.py:1817(_topmost_artist)
        1    0.000    0.000    0.000    0.000 __init__.py:183(<listcomp>)
    19014    0.005    0.000    0.007    0.000 __init__.py:1830(_str_equal)
      381    0.000    0.000    0.000    0.000 __init__.py:1841(_str_lower_equal)
       12    0.000    0.000    0.001    0.000 __init__.py:1852(_define_aliases)
        6    0.000    0.000    0.000    0.000 __init__.py:186(_remove_proxy)
       37    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
       82    0.000    0.000    0.000    0.000 __init__.py:1873(make_alias)
        3    0.000    0.000    0.000    0.000 __init__.py:1874(method)
