Task_1.py :-
$ jupyter nbconvert --to script Task_1.ipynb
$ python -m cProfile Task_1.py

         349587642 function calls (349577830 primitive calls) in 262.126 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      757    0.000    0.000    0.000    0.000 __init__.py:785(<lambda>)
        2    0.018    0.009    0.040    0.020 __init__.py:785(_rc_params_in_file)
        8    0.000    0.000    0.001    0.000 __init__.py:789(add_methods)
        1    0.000    0.000    0.000    0.000 __init__.py:793(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:8(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:802(__init__)
        4    0.000    0.000    0.005    0.001 __init__.py:802(add_special_arithmetic_methods)
       40    0.000    0.000    0.000    0.000 __init__.py:819(_wrap_inplace_method)
        1    0.000    0.000    0.394    0.394 __init__.py:82(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:831(createLock)
        1    0.000    0.000    0.012    0.012 __init__.py:86(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:86(_StrongRef)
        4    0.000    0.000    0.027    0.007 __init__.py:861(add_flex_arithmetic_methods)
       16    0.000    0.000    0.000    0.000 __init__.py:883(<genexpr>)
        3    0.000    0.000    0.088    0.029 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:9(ExtType)
      757    0.001    0.000    0.001    0.000 __init__.py:907(<lambda>)
        1    0.000    0.000    0.001    0.001 __init__.py:917(<dictcomp>)
       16    0.000    0.000    0.000    0.000 __init__.py:934(_arith_method_SERIES)
        1    0.000    0.000    0.016    0.016 __init__.py:97(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:982(StreamHandler)
        3    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
        1    0.000    0.000    0.012    0.012 _add_newdocs.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:6783(numeric_type_aliases)
       16    0.000    0.000    0.000    0.000 _add_newdocs.py:6784(type_aliases_gen)
       19    0.000    0.000    0.001    0.000 _add_newdocs.py:6819(add_newdoc_for_scalar_type)
       27    0.000    0.000    0.000    0.000 _add_newdocs.py:6824(<genexpr>)
       34    0.000    0.000    0.000    0.000 _add_newdocs.py:6825(<genexpr>)
        1    0.000    0.000    0.000    0.000 _animation_data.py:159(<module>)
        1    0.000    0.000    0.069    0.069 _base.py:1(<module>)
        2    0.000    0.000  232.627  116.314 _base.py:272(read_excel)
        1    0.000    0.000    0.000    0.000 _base.py:344(_BaseExcelReader)
        2    0.000    0.000  196.070   98.035 _base.py:345(__init__)
        2    0.081    0.040   36.411   18.206 _base.py:391(parse)
        1    0.000    0.000    0.000    0.000 _base.py:534(ExcelWriter)
        1    0.000    0.000    0.026    0.026 _base.py:786(ExcelFile)
        2    0.000    0.000  196.216   98.108 _base.py:807(__init__)
        2    0.000    0.000   36.411   18.206 _base.py:824(parse)
        1    0.000    0.000    0.000    0.000 _binary.py:15(<module>)
