Task_2.py :-
$ jupyter nbconvert --to script Task_2.ipynb
$ python -m cProfile Task_2.py
         590484 function calls (581087 primitive calls) in 7.588 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      116    0.000    0.000    0.000    0.000 __init__.py:782(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:783(_addHandlerRef)
       92    0.000    0.000    0.000    0.000 __init__.py:784(<lambda>)
        8    0.000    0.000    0.000    0.000 __init__.py:785(<dictcomp>)
      757    0.000    0.000    0.000    0.000 __init__.py:785(<lambda>)
        2    0.004    0.002    0.016    0.008 __init__.py:785(_rc_params_in_file)
        8    0.000    0.000    0.000    0.000 __init__.py:789(add_methods)
        1    0.000    0.000    0.000    0.000 __init__.py:793(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:802(__init__)
        4    0.000    0.000    0.002    0.001 __init__.py:802(add_special_arithmetic_methods)
        1    0.000    0.000    0.000    0.000 __init__.py:81(get_op_result_name)
       40    0.000    0.000    0.000    0.000 __init__.py:819(_wrap_inplace_method)
        1    0.000    0.000    0.071    0.071 __init__.py:82(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:831(createLock)
        1    0.000    0.000    0.004    0.004 __init__.py:86(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:86(_StrongRef)
        4    0.000    0.000    0.009    0.002 __init__.py:861(add_flex_arithmetic_methods)
       16    0.000    0.000    0.000    0.000 __init__.py:883(<genexpr>)
        3    0.000    0.000    0.022    0.007 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:9(ExtType)
      757    0.000    0.000    0.001    0.000 __init__.py:907(<lambda>)
        1    0.000    0.000    0.001    0.001 __init__.py:917(<dictcomp>)
       16    0.000    0.000    0.000    0.000 __init__.py:934(_arith_method_SERIES)
        1    0.000    0.000    0.004    0.004 __init__.py:97(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:982(StreamHandler)
        3    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:6783(numeric_type_aliases)
       16    0.000    0.000    0.000    0.000 _add_newdocs.py:6784(type_aliases_gen)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6819(add_newdoc_for_scalar_type)
       27    0.000    0.000    0.000    0.000 _add_newdocs.py:6824(<genexpr>)
       34    0.000    0.000    0.000    0.000 _add_newdocs.py:6825(<genexpr>)
        1    0.000    0.000    0.000    0.000 _animation_data.py:159(<module>)
        1    0.000    0.000    0.009    0.009 _base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:344(_BaseExcelReader)
        1    0.000    0.000    0.000    0.000 _base.py:534(ExcelWriter)
        1    0.000    0.000    0.002    0.002 _base.py:786(ExcelFile)
        1    0.000    0.000    0.000    0.000 _binary.py:15(<module>)
        3    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _cm.py:158(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _cm.py:66(cubehelix)
        1    0.000    0.000    0.000    0.000 _cm.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:2061(<dictcomp>)
       11    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:271(__subclasshook__)
       14    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:367(__subclasshook__)
       90    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
      601    0.001    0.000    0.005    0.000 _collections_abc.py:657(get)
       25    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:672(keys)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:719(__iter__)
       23    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        4    0.000    0.000    0.003    0.001 _collections_abc.py:824(update)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
       11    0.000    0.000    0.000    0.000 _color_data.py:32(<genexpr>)
        1    0.000    0.000    0.000    0.000 _color_data.py:995(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _common.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _common.py:13(tzname_in_python2)
        3    0.000    0.000    0.000    0.000 _common.py:132(_validate_fromutc_inputs)
        1    0.000    0.000    0.000    0.000 _common.py:149(_tzinfo)
        1    0.000    0.000    0.000    0.000 _common.py:267(tzrangebase)
        1    0.000    0.000    0.000    0.000 _common.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _common.py:6(weekday)
